tile_id,l_min,l_max,l_widht,l_middle,b_min,b_max,b_widht,b_middle,coloring
340,8.969620133015965,10.43693122718728,1.4673110941713148,9.703275680101624,-0.4584879413742688,0.7367348913860126,1.1952228327602814,0.1391234750058718,3
339,7.510994835601916,8.979289837003483,1.4682950014015672,8.245142336302699,-0.4584135161402095,0.7398972757789136,1.1983107919191232,0.140741879819352,2
338,6.052477244744728,7.521959819228597,1.4694825744838689,6.787218531986662,-0.4582992718332152,0.7399010383029433,1.1982003101361585,0.140800883234864,3
337,4.593450401040762,6.063206974355712,1.4697565733149496,5.328328687698237,-0.4586513988834504,0.7401730781788691,1.1988244770623195,0.1407608396477093,2
336,3.1347823749787573,4.601909385290116,1.467127010311359,3.868345880134437,-0.4585436170956632,0.7368724826745638,1.195416099770227,0.1391644327894503,3
335,1.6760740991758902,3.143395394190308,1.4673212950144177,2.409734746683099,-0.4585742818747494,0.7368506749469328,1.1954249568216824,0.1391381965360916,2
334,0.2174942595065083,1.6858734427934607,1.4683791832869524,0.9516838511499844,-0.458039614336357,0.7401162722152278,1.198155886551585,0.1410383289394353,3
326,8.969854637469897,10.437046600595236,1.4671919631253392,9.703450619032566,-1.5504391931430004,-0.3553893532538712,1.1950498398891292,-0.9529142731984358,1
325,7.511115855230292,8.978260116085654,1.4671442608553615,8.244687985657972,-1.5505218859500027,-0.35543770436776,1.1950841815822426,-0.9529797951588814,0
324,6.052486292132525,7.519559748187641,1.4670734560551155,6.786023020160084,-1.5503772762307004,-0.3553779148017482,1.1949993614289522,-0.9528775955162244,1
323,4.593362781033429,6.06078081643809,1.4674180354046609,5.327071798735759,-1.5507664444696834,-0.3553184658013899,1.1954479786682934,-0.9530424551355366,0
322,3.134746221037388,4.6021752001410015,1.4674289791036137,3.8684607105891935,-1.5506501632671226,-0.3553919439760688,1.1952582192910537,-0.9530210536215956,1
321,1.6760662288539754,3.1434626747298946,1.4673964458759192,2.409764451791935,-1.5505121805752589,-0.3554677507822359,1.195044429793023,-0.9529899656787474,0
320,0.2172031759787749,1.6845706231636806,1.4673674471849056,0.9508868995712276,-1.5509467845005225,-0.3555591258128283,1.195387658687694,-0.9532529551566754,1
312,8.976670780215061,10.444574086019342,1.4679033058042812,9.710622433117202,-2.6425719660772717,-1.4474587435043782,1.195113222572893,-2.0450153547908245,3
311,7.517382531732329,8.985235534127765,1.4678530023954366,8.251309032930047,-2.6425405980301737,-1.4475542739116318,1.194986324118542,-2.0450474359709028,2
310,6.057804794597057,7.525952365083372,1.4681475704863152,6.791878579840214,-2.642986078069452,-1.447642741638381,1.1953433364310708,-2.0453144098539164,3
309,4.598468811430493,6.066708980510356,1.4682401690798628,5.332588895970424,-2.642846803799751,-1.4475752896114278,1.195271514188323,-2.0452110467055893,2
308,3.1393266058461933,4.607880084041185,1.468553478194992,3.873603344943689,-2.642873004721476,-1.4474711930789024,1.1954018116425735,-2.0451720989001894,3
307,1.680050360394373,3.1482447325169027,1.4681943721225297,2.414147546455638,-2.6429247883023965,-1.447567078042098,1.1953577102602986,-2.0452459331722475,2
306,0.220640849210817,1.6915519017211005,1.470911052510283,0.9560963754659588,-2.6426119031604998,-1.4461324932012425,1.196479409959257,-2.044372198180871,3
298,8.990318084027729,10.459736476005238,1.4694183919775092,9.725027280016484,-3.735042380856724,-2.538613635986592,1.1964287448701325,-3.136828008421657,2
297,7.529977636880286,8.999556630930277,1.469578994049991,8.26476713390528,-3.735097264576905,-2.539674999172456,1.1954222654044488,-3.1373861318746803,0
296,6.069619747404426,7.539160182900931,1.469540435496505,6.804389965152678,-3.73495939229111,-2.539712322767369,1.1952470695237407,-3.13733585752924,1
295,4.609527474184255,6.07892029369366,1.4693928195094044,5.344223883938957,-3.734964484347791,-2.5397875245659773,1.1951769597818136,-3.1373760044568844,0
294,3.149036895440106,4.618478465657706,1.4694415702176,3.883757680548906,-3.735092524137223,-2.5396621480491954,1.1954303760880274,-3.137377336093209,1
293,1.6890505151601118,3.1608759587740543,1.4718254436139424,2.4249632369670837,-3.734715944982448,-2.538331690601764,1.1963842543806835,-3.136523817792105,0
292,0.2286424899623751,1.7005204807756216,1.4718779908132464,0.9645814853689983,-3.734803946392964,-2.53854389088815,1.1962600555048142,-3.136673918640557,1
284,9.010933834081731,10.48217119941684,1.4712373653351083,9.746552516749286,-4.82717936040761,-3.631893557182945,1.1952858032246652,-4.229536458795277,0
283,7.548880740290943,9.020406032240578,1.4715252919496349,8.28464338626576,-4.827183210157768,-3.6318447365128734,1.195338473644894,-4.2295139733353215,1
282,6.087456441156106,7.558521832319592,1.471065391163486,6.822989136737849,-4.826749929925662,-3.63180515735334,1.1949447725723226,-4.229277543639501,2
281,4.625152694190425,6.096531276810415,1.47137858261999,5.36084198550042,-4.827279894907562,-3.631786768147433,1.195493126760129,-4.229533331527498,3
280,3.163323355300267,4.637473521106324,1.4741501658060572,3.900398438203296,-4.827345589833856,-3.630582223228095,1.196763366605761,-4.228963906530975,2
279,1.7015869019194112,3.172658770071339,1.4710718681519277,2.437122835995375,-4.826871112979753,-3.631883174079212,1.1949879389005416,-4.229377143529483,3
278,0.2396641509287518,1.7108657087023869,1.471201557773635,0.9752649298155692,-4.826880763156557,-3.631866034832291,1.1950147283242658,-4.229373398994424,2
270,9.038553267536711,10.512457402418264,1.473904134881554,9.775505334977488,-5.91913944201473,-4.7240893260222645,1.1950501159924656,-5.321614384018497,1
269,7.574773458380825,9.04919552305635,1.4744220646755242,8.311984490718586,-5.918967585858319,-4.72086967072576,1.1980979151325588,-5.319918628292039,2
268,6.110659366640133,7.585386476613459,1.4747271099733252,6.8480229216267965,-5.91913618403537,-4.720896837800841,1.198239346234529,-5.320016510918105,0
267,4.646598415672644,6.120995402275689,1.474396986603045,5.383796908974166,-5.919364299953469,-4.720760855110514,1.1986034448429548,-5.320062577531992,1
266,3.182547023930933,4.656357135778815,1.4738101118478817,3.919452079854874,-5.91944473101767,-4.723738952815345,1.195705778202325,-5.321591841916508,0
265,1.7184265688708174,3.1948225184549197,1.476395949584102,2.456624543662868,-5.919359444331449,-4.722667668770581,1.1966917755608684,-5.321013556551015,1
264,0.254824656007353,1.729812968635698,1.474988312628345,0.9923188123215256,-5.919025052020417,-4.720701445889698,1.1983236061307192,-5.319863248955057,0
